name,beers_count,brewery_id,latitude,longitude
Brouwerij de Gouden Boom,1.0,273,51.20940017700195,3.2251999378204346
Brouwerij De Keersmaeker,1.0,274,50.9098014831543,4.250500202178955
Brouwerij De Landtsheer,5.0,276,51.02280044555664,4.1571998596191415
Brouwerij De Ranke,4.0,277,50.81050109863281,3.185699939727783
Brouwerij De Regenboog,1.0,278,51.1968002319336,3.252700090408325
Brouwerij De Smedt,3.0,279,50.97100067138672,4.190999984741212
Brouwerij der Sint-Benedictusabdij de Achelse Kluis,5.0,280,51.25149917602539,5.546000003814697
Brouwerij Duvel Moortgat,1.0,281,51.0442008972168,4.325699806213379
Brouwerij Duvel Moortgat,1.0,281,51.22060012817383,4.399700164794922
Brouwerij Duysters,1.0,282,50.98820114135742,5.055399894714356
Brouwerij Girardin,1.0,283,,
Brouwerij Het Anker,5.0,284,51.03250122070313,4.4730000495910645
Brouwerij Huyghe,5.0,285,,
Brouwerij Kerkom,2.0,286,50.77629852294922,5.165999889373778
Brouwerij Liefmans,6.0,287,50.84389877319336,3.617000102996826
Brouwerij Lindemans,5.0,288,50.81800079345703,4.2307000160217285
Brouwerij Nacional Balashi,1.0,289,,
Brouwerij Oud Beersel,1.0,290,50.75859832763672,4.3011999130249015
Brouwerij Rodenbach,3.0,291,50.94620132446289,3.136199951171875
Brouwerij Roman,1.0,292,50.83100128173828,3.6758999824523926
Brouwerij Sint-Jozef,1.0,293,51.1167984008789,5.646399974822997
Brouwerij Slaghmuylder,2.0,294,50.84170150756836,4.0212998390197745
Brouwerij St-Feuillien,2.0,295,50.50180053710938,4.10860013961792
Brouwerij St. Bernardus,9.0,296,50.84249877929688,2.636199951171875
Brouwerij Sterkens,9.0,297,51.44390106201172,4.73859977722168
Brouwerij Strubbe,1.0,298,51.09230041503906,3.009999990463257
Brouwerij The Musketiers,1.0,299,51.128700256347656,3.4784998893737797
Brouwerij Van Den Bossche,2.0,300,50.85639953613281,3.8845000267028813
Brouwerij Van Eecke,3.0,301,50.86119842529297,2.6614999771118164
Brouwerij van Hoegaarden,2.0,302,50.77780151367188,4.887700080871582
Brouwerij Van Honsebrouck,4.0,303,50.92010116577149,3.2578999996185303
Brouwerij Van Steenberge,12.0,304,51.17660140991211,3.7462000846862793
Brouwerij Verhaeghe,3.0,305,50.83219909667969,3.3884000778198238
Browar NamysÅ‚Ã³w Sp. z o.o.,1.0,306,,
Browar Okocim,2.0,307,49.96220016479492,20.600299835205078
Browar Warka,1.0,308,,
Browar Zywiec,2.0,309,49.66220092773438,19.1742000579834
Brown Street Brewery,6.0,310,45.63800048828125,-89.4126968383789
Brownings,,311,38.25540161132813,-85.74410247802734
